timesteps,rewards
100,-500.0
200,-500.0
300,-500.0
400,-500.0
500,-500.0
600,-500.0
700,-500.0
800,-500.0
900,-500.0
1000,-500.0
1100,-500.0
1200,-500.0
1300,-500.0
1400,-500.0
1500,-500.0
1600,-500.0
1700,-500.0
1800,-500.0
1900,-500.0
2000,-500.0
2100,-500.0
2200,-500.0
2300,-500.0
2400,-500.0
2500,-500.0
2600,-500.0
2700,-500.0
2800,-500.0
2900,-500.0
3000,-500.0
3100,-500.0
3200,-500.0
3300,-500.0
3400,-500.0
3500,-500.0
3600,-500.0
3700,-500.0
3800,-500.0
3900,-500.0
4000,-500.0
4100,-500.0
4200,-500.0
4300,-500.0
4400,-500.0
4500,-500.0
4600,-500.0
4700,-500.0
4800,-500.0
4900,-500.0
5000,-500.0
5100,-500.0
5200,-500.0
5300,-500.0
5400,-500.0
5500,-500.0
5600,-500.0
5700,-500.0
5800,-500.0
5900,-500.0
6000,-500.0
6100,-500.0
6200,-500.0
6300,-250.4
6400,-500.0
6500,-500.0
6600,-345.6
6700,-418.8
6800,-420.0
6900,-500.0
7000,-414.4
7100,-419.2
7200,-382.8
7300,-359.0
7400,-330.8
7500,-330.6
7600,-415.8
7700,-412.8
7800,-500.0
7900,-415.8
8000,-500.0
8100,-500.0
8200,-76.6
8300,-166.0
8400,-171.8
8500,-82.6
8600,-75.8
8700,-75.8
8800,-92.2
8900,-88.4
9000,-255.2
9100,-175.0
9200,-82.8
9300,-87.8
9400,-80.0
9500,-198.8
9600,-85.2
9700,-152.2
9800,-73.8
9900,-128.6
10000,-162.6
10100,-80.6
10200,-155.6
10300,-500.0
10400,-500.0
10500,-500.0
10600,-415.4
10700,-423.6
10800,-500.0
10900,-500.0
11000,-414.6
11100,-500.0
11200,-500.0
11300,-500.0
11400,-420.4
11500,-500.0
11600,-365.0
11700,-414.4
11800,-424.4
11900,-500.0
12000,-500.0
12100,-500.0
12200,-414.6
12300,-255.2
12400,-331.0
12500,-337.6
12600,-333.4
12700,-256.2
12800,-500.0
12900,-418.6
13000,-253.8
13100,-248.4
13200,-339.0
13300,-336.8
13400,-419.2
13500,-340.0
13600,-425.0
13700,-192.6
13800,-334.0
13900,-254.2
14000,-332.4
14100,-259.2
14200,-345.4
14300,-415.6
14400,-500.0
14500,-500.0
14600,-500.0
14700,-500.0
14800,-500.0
14900,-500.0
15000,-500.0
15100,-500.0
15200,-500.0
15300,-500.0
15400,-500.0
15500,-500.0
15600,-500.0
15700,-500.0
15800,-500.0
15900,-500.0
16000,-500.0
16100,-500.0
16200,-500.0
16300,-500.0
16400,-500.0
16500,-500.0
16600,-500.0
16700,-500.0
16800,-500.0
16900,-500.0
17000,-500.0
17100,-500.0
17200,-500.0
17300,-500.0
17400,-500.0
17500,-500.0
17600,-500.0
17700,-500.0
17800,-500.0
17900,-500.0
18000,-500.0
18100,-500.0
18200,-500.0
18300,-500.0
18400,-500.0
18500,-500.0
18600,-500.0
18700,-500.0
18800,-421.0
18900,-500.0
19000,-500.0
19100,-500.0
19200,-500.0
19300,-500.0
19400,-500.0
19500,-500.0
19600,-500.0
19700,-500.0
19800,-416.0
19900,-500.0
20000,-500.0
20100,-500.0
20200,-500.0
20300,-419.2
20400,-500.0
20500,-500.0
20600,-419.2
20700,-500.0
20800,-416.4
20900,-500.0
21000,-500.0
21100,-500.0
