timesteps,rewards
16,16.0
28,12.0
40,12.0
91,51.0
112,21.0
123,11.0
141,18.0
161,20.0
181,20.0
216,35.0
239,23.0
273,34.0
289,16.0
303,14.0
315,12.0
334,19.0
355,21.0
367,12.0
388,21.0
432,44.0
457,25.0
474,17.0
484,10.0
499,15.0
509,10.0
541,32.0
557,16.0
590,33.0
633,43.0
665,32.0
698,33.0
725,27.0
741,16.0
805,64.0
816,11.0
838,22.0
876,38.0
926,50.0
940,14.0
955,15.0
1012,57.0
1043,31.0
1071,28.0
1121,50.0
1153,32.0
1184,31.0
1203,19.0
1223,20.0
1239,16.0
1279,40.0
1300,21.0
1316,16.0
1327,11.0
1371,44.0
1394,23.0
1425,31.0
1446,21.0
1461,15.0
1500,39.0
