timesteps,rewards
100,-1402.8966109879316
200,-1364.5868754386902
300,-1529.0207049429416
400,-1519.5305806696415
500,-1431.738531845808
600,-1555.0607841491699
700,-1435.3620995063334
800,-1819.6457170009612
900,-1597.2096252895892
1000,-1703.4189309418202
1100,-1763.5155344486236
1200,-1571.783825533092
1300,-1601.8048348665238
1400,-1492.7934508621693
1500,-1409.9568226456643
1600,-1373.8344154864549
1700,-1399.8399857282639
1800,-1359.7563600409776
1900,-1300.9514444453641
2000,-1139.7647972762584
2100,-1203.239966917038
2200,-1056.5473701721057
2300,-998.9233302906156
2400,-993.6399500600994
2500,-737.0065701704473
2600,-891.8291205354035
2700,-674.9316547721625
2800,-796.9058498647995
2900,-734.1814198024571
3000,-837.873890407756
3100,-1021.663992824778
3200,-1261.9319807626307
3300,-1254.6744363421574
3400,-1305.242914392799
3500,-1162.9242903310806
3600,-980.6565927198972
3700,-664.6900040064007
3800,-647.0641842711251
3900,-846.5223451171071
4000,-635.6194987902418
4100,-78.87303006853908
4200,-446.7055436332477
4300,-750.0528707807156
4400,-127.78597069191747
4500,-246.46042153862072
4600,-76.56957530389191
4700,-174.8258672861848
4800,-151.76221480621024
4900,-125.13581548864022
5000,-274.10049051847307
5100,-197.48194964639842
5200,-175.19084949643874
5300,-275.09167271859116
5400,-199.60000121954363
5500,-147.64552252753055
5600,-200.37797344266147
5700,-146.75496275358893
5800,-148.30158151024952
5900,-230.91126858091155
6000,-246.76276714916747
6100,-152.73080813463312
6200,-276.7319748811424
6300,-178.28529027262704
6400,-196.72677446990275
6500,-152.82039837569465
6600,-300.350047635434
6700,-174.59205919068773
6800,-194.27558408334153
6900,-125.79373352844269
7000,-225.18373718259392
7100,-191.87960263669373
7200,-154.29757642659825
7300,-98.53501042232384
7400,-73.61799752915212
7500,-101.18452321138466
7600,-173.59801336344245
7700,-76.50398478760326
7800,-99.50591510971572
7900,-171.69774914141743
8000,-148.93914878473151
8100,-177.3769711440087
8200,-172.88819554862567
8300,-98.83466658721446
8400,-164.34383317790633
8500,-218.65592926125865
8600,-123.1759162302682
8700,-167.36226005944408
8800,-98.56784471163992
8900,-244.7396703259088
9000,-176.07155812899873
9100,-76.70730000491021
9200,-216.88524519844358
9300,-192.67719340370968
9400,-99.26093998782453
9500,-226.3689963605022
9600,-211.67834073673583
9700,-151.15854599216837
9800,-122.90162841355777
9900,-151.7566806924122
10000,-149.22380065827093
10100,-120.54984767946152
10200,-209.63474104970228
10300,-123.29299252898927
10400,-155.630798052554
10500,-146.6232256920892
10600,-73.99281214510556
10700,-146.85010045700847
10800,-148.034398421424
10900,-144.7953003671937
11000,-75.20237864870577
11100,-201.10705793240922
11200,-150.08480951606035
11300,-49.07267274886836
11400,-144.66512057902293
11500,-218.54795568436967
11600,-145.78422599115294
11700,-193.62813269919715
11800,-147.29030517203063
11900,-144.41740669855207
12000,-188.21589783639646
12100,-124.44837203890174
12200,-288.3355976109393
12300,-122.15122361886043
12400,-124.41744036167047
12500,-121.70707420376421
12600,-240.74067687113546
12700,-95.13270079861395
12800,-168.6152882425966
12900,-166.01998710470798
13000,-170.99123878404498
13100,-168.55551899264975
13200,-126.80558283673818
13300,-195.69765799560702
13400,-98.37976888931874
13500,-95.02850416697329
13600,-75.58881463045836
13700,-145.88934421378653
13800,-122.76698110742727
13900,-174.036537150573
14000,-217.6805216869594
14100,-187.81970909092342
14200,-99.68538002870045
14300,-148.33558722153674
14400,-173.2165144038911
14500,-124.05935830532107
14600,-122.70455907292198
14700,-147.1715805914486
14800,-144.0778409595194
14900,-169.5067289518869
15000,-122.10529298315994
15100,-239.41942528389046
15200,-164.86506157927616
15300,-190.48736272173701
15400,-143.0235041698112
15500,-145.10820044596767
15600,-143.55485105343897
15700,-149.28506739503646
15800,-96.34414627803775
15900,-119.18437971607855
16000,-177.61495557839862
16100,-120.68298270501873
16200,-97.43326205865887
16300,-146.36733726814856
16400,-217.42754311870667
16500,-144.4125254432147
16600,-162.07217726798262
16700,-235.7159503103845
16800,-122.84232625002042
16900,-175.8859519520367
17000,-145.53780011257476
17100,-146.09240106752878
17200,-120.9843291245401
17300,-146.2990305356901
17400,-214.34787542653794
17500,-147.7563820136078
17600,-197.66256774077192
17700,-150.49974149179397
17800,-144.9055185734615
17900,-214.20524360068922
18000,-211.39408525414765
18100,-142.62608875706792
18200,-157.30083589069255
18300,-170.47008569749013
18400,-147.44640471999008
18500,-142.88525541978305
18600,-121.37426010794006
18700,-169.49976761667057
18800,-123.56197378253565
18900,-171.62844254700468
19000,-190.4287566775587
19100,-146.72129268412246
19200,-139.9105415000813
19300,-98.20468112775124
19400,-142.61881385663293
19500,-199.86068415169137
19600,-215.52032088083797
19700,-193.7257841589162
19800,-154.73689050120302
19900,-215.90786155816167
20000,-150.3898821502924
20100,-95.88885562230135
20200,-149.47356550719124
20300,-98.23032570667564
20400,-123.46994552602992
20500,-214.47598772719502
20600,-187.6387679323554
20700,-170.17464435440488
20800,-185.38805200485513
20900,-148.25865951905726
21000,-188.89977936516516
21100,-142.59686607781333
21200,-190.21969252973796
21300,-126.99852410759777
21400,-77.13638091115281
21500,-147.38062125793658
21600,-99.20490990867839
21700,-191.37327131433412
21800,-124.48615118553862
21900,-124.01492674518377
22000,-147.91816770355217
22100,-121.600836341409
22200,-146.62349459338003
22300,-100.45302346753888
22400,-97.99148870110511
22500,-149.33505726568401
22600,-160.92440448864363
22700,-52.21739984797314
22800,-152.52834231248124
22900,-197.61577862696723
23000,-124.94838519473561
23100,-153.25298337349668
23200,-196.17919528426137
23300,-144.17282750746236
23400,-118.83618309590966
23500,-123.81774330101908
23600,-172.1056676894892
23700,-149.10862243217417
23800,-150.4021966053173
23900,-206.35337154217996
24000,-102.26544866622426
24100,-168.7976111220196
24200,-176.55467642480508
24300,-170.14612405570224
24400,-126.09420915185474
24500,-194.42354407198727
24600,-99.57649598009884
24700,-103.08224252900109
24800,-201.60263139805755
24900,-172.2138158144895
25000,-160.2208069352433
25100,-149.6817948756274
25200,-26.596947234519757
25300,-140.23385584126225
25400,-122.0230435573496
25500,-148.49125853045842
25600,-150.18545502971392
25700,-143.7375982500147
25800,-98.50936806742102
25900,-194.03267936264166
26000,-119.4340880704578
26100,-149.08403104091994
26200,-169.70154033582656
26300,-124.86682899661828
26400,-207.95638977170455
26500,-147.72571017767768
26600,-124.59367155975197
26700,-75.21369843005668
26800,-123.29071288802079
26900,-125.48078631699317
27000,-126.12560525008011
27100,-148.10931711226004
27200,-113.07979574648198
27300,-240.0029993817443
27400,-147.6560187898809
27500,-98.89920012503862
27600,-160.29200969904196
27700,-120.87043931870721
27800,-148.46802827384673
27900,-213.46035985077032
28000,-195.78779403124935
28100,-144.79469920711125
28200,-182.17060576193035
28300,-216.62147293370217
28400,-96.13994211850222
28500,-168.89452911391854
28600,-140.44806266663363
28700,-143.36013195505365
28800,-170.63676187625387
28900,-162.15882779709062
29000,-176.27518732420867
29100,-185.86781191449845
29200,-106.82405171440332
29300,-222.3990870018024
29400,-127.40334561347262
29500,-181.12586591202998
29600,-190.8937562975916
29700,-147.10737679543672
29800,-126.56177704585716
29900,-97.68094175448641
30000,-168.54528047228231
30100,-120.44263449640712
30200,-126.79548271352542
30300,-147.43371663059224
30400,-144.2547146589728
30500,-146.75525416098534
30600,-125.57418626815779
30700,-146.0686836720095
30800,-125.77125624122564
30900,-148.75753428119933
31000,-143.31506458380608
31100,-170.69971114104266
31200,-229.64323017958668
31300,-123.83335590656061
31400,-147.19828863932634
31500,-174.77863491101488
31600,-189.83335796128958
31700,-96.55001531785528
31800,-125.8193689895852
31900,-117.77757908524218
32000,-161.29959691852565
32100,-145.09163976197596
32200,-124.61417975969962
32300,-172.45050323584002
32400,-144.95967290244297
32500,-203.91937867318046
32600,-170.04628292436246
32700,-98.9409810215584
32800,-144.4485941592662
32900,-74.47908676241642
33000,-100.5574167021783
33100,-123.42909069007729
33200,-143.58037356164786
33300,-193.79975313453468
33400,-119.1490031796042
33500,-171.6406242948724
33600,-146.4067599940401
33700,-164.4412395129213
33800,-123.87027174216928
33900,-148.99113626455073
34000,-181.96499363455223
34100,-122.29257303526393
34200,-94.03015407884959
34300,-73.271037162235
34400,-74.33353208097397
34500,-147.41146674749834
34600,-193.68470910126342
34700,-171.33381612240336
34800,-201.27104741055518
34900,-146.6855637843837
35000,-143.99562802448636
35100,-122.83155879494734
35200,-214.56409757784604
35300,-124.30096825892106
35400,-180.07592797561082
35500,-173.01247546569212
35600,-193.14712402169826
35700,-142.39123412766494
35800,-173.53431848604814
35900,-169.0197302788969
36000,-144.93028688083868
36100,-123.88508812603541
36200,-218.87782326966408
36300,-76.67170939123025
36400,-175.1467529188085
36500,-122.5946874480309
36600,-168.90642567032174
36700,-177.48021024970222
36800,-172.2599285259377
36900,-225.1831293500727
37000,-223.13316041377146
37100,-126.10901649766602
37200,-101.88076252939645
37300,-243.83280545708257
37400,-102.287545208144
37500,-150.9458967535291
37600,-238.33480851480272
37700,-149.30478105102665
37800,-143.71930096591822
37900,-122.51804789132439
38000,-124.60217783248518
38100,-166.46153380370234
38200,-226.64888652476947
38300,-194.9800372869009
38400,-168.34800100429857
38500,-145.6384906948544
38600,-141.66613659728318
38700,-148.9142273361329
38800,-125.05427437778562
38900,-99.2622718211729
39000,-154.27987827286125
39100,-145.66041762598326
39200,-98.03909929157234
39300,-143.0350833567558
39400,-163.32351376669249
39500,-171.11053744256498
39600,-147.56014678969512
39700,-146.34371364298278
39800,-148.5464321151143
39900,-168.35005629749503
40000,-173.11858512104953
40100,-121.6530984281504
40200,-147.1031006511301
40300,-143.7269622294698
40400,-122.15999816788826
40500,-147.25177184566854
40600,-150.39717927140882
40700,-150.0268916010391
40800,-167.35063088738826
40900,-147.20283661021386
41000,-235.2962902441388
41100,-122.04166875211521
41200,-171.39648017701694
41300,-179.0150780496886
41400,-194.5824200403411
41500,-50.77225664239377
41600,-195.77183129210025
41700,-124.00633496334777
41800,-149.3647880887147
41900,-145.2950309429434
42000,-124.20812097159214
42100,-100.81584662024397
42200,-250.71814435310662
42300,-171.19350084308536
42400,-122.57190863941796
42500,-99.6269805226475
42600,-175.85427494384348
42700,-174.49931085857096
42800,-167.7934706145432
42900,-151.4070552711375
43000,-124.56293807739857
43100,-101.40801252489909
43200,-149.87290385205998
43300,-146.02305563786067
43400,-195.34514506966806
43500,-144.48275394688827
43600,-146.91772776521975
43700,-269.3272977447603
43800,-100.2466009309981
43900,-147.1266241541598
44000,-169.68870800223667
44100,-101.85782345514744
44200,-152.7038302318193
44300,-151.99125254955143
44400,-172.38266162555664
44500,-125.19756869338453
44600,-173.81276998291725
44700,-170.1755780327134
44800,-146.4172811311204
44900,-125.43997682305053
45000,-187.6855547002051
45100,-120.41944459467194
45200,-147.2488791543059
45300,-188.88500291965903
45400,-183.84445695118046
45500,-151.82126027876512
45600,-121.8678365743719
45700,-145.14130387441256
