timesteps,rewards
100,-1295.0919615983962
200,-1392.8489632844926
300,-1498.9891272068023
400,-1673.0252475708724
500,-1575.0046223267914
600,-1513.1731717705727
700,-1406.157685037097
800,-1547.2177242040634
900,-1565.3757929563521
1000,-1502.8221655786037
1100,-1522.3628714382648
1200,-1465.7263684883715
1300,-1466.793201261759
1400,-1436.6956848144532
1500,-1462.0679630756379
1600,-1438.8020088762046
1700,-1479.0118536233902
1800,-1450.3253600042312
1900,-1468.0960432760417
2000,-1400.86936230883
2100,-1342.1118654727936
2200,-1377.8088951654731
2300,-1287.38889959082
2400,-1324.2583775542676
2500,-1271.019394030422
2600,-1325.185762028396
2700,-1207.9572304844855
2800,-1222.9056768603623
2900,-1257.8939952790738
3000,-1186.636347323656
3100,-1207.9227115750314
3200,-1262.0603547491132
3300,-1079.947189205885
3400,-1122.8573835670948
3500,-1047.4646711111068
3600,-1025.6903569549322
3700,-936.6920935153961
3800,-883.499185268581
3900,-909.8451040387154
4000,-994.02193826437
4100,-881.6575306147337
4200,-1119.3806749045848
4300,-894.4615694701672
4400,-806.788234519586
4500,-924.9385509312153
4600,-765.6891459686682
4700,-789.1030542910099
4800,-730.4087237991392
4900,-689.0618211867288
5000,-960.155461204052
5100,-711.7956349926069
5200,-744.1643757551908
5300,-728.8556607142091
5400,-656.21829851605
5500,-693.6812058901181
5600,-672.7945645317435
5700,-726.9860574245453
5800,-577.8288195865113
5900,-697.4234307654202
6000,-793.2006905525923
6100,-754.157649041526
6200,-679.3592935539782
6300,-650.4452885165811
6400,-763.4822355675511
6500,-672.380886157602
6600,-866.9653142422437
6700,-565.2994986250997
6800,-801.2057457268238
6900,-996.5490334138274
7000,-889.5336865991354
7100,-839.4254442088306
7200,-920.3118650086224
7300,-809.3270470030606
7400,-1097.1858413681389
7500,-943.8421968206763
7600,-748.3418755702675
7700,-645.4845433754847
7800,-823.5046940892935
7900,-835.680538636446
8000,-1031.1680901253596
8100,-932.9408244707622
8200,-1094.0313810825348
8300,-1082.2347150057553
8400,-1086.3422255484388
8500,-1094.2695295721292
8600,-966.1087510727345
8700,-935.6824979245663
8800,-407.788142041862
8900,-561.1003756940365
9000,-577.128478525579
9100,-387.5983500065282
9200,-280.1236016202718
9300,-277.3118005387485
9400,-140.5559319306165
9500,-241.34608070887626
9600,-275.9589843230322
9700,-132.27606737781315
9800,-157.39332305770367
9900,-185.55848824158312
10000,-182.32351599000395
10100,-129.2812363293022
10200,-217.44309412278236
10300,-128.40118371248246
10400,-160.02508911006151
10500,-176.97504206337035
10600,-79.75242465436459
10700,-154.55681292973458
10800,-159.64523223489522
10900,-176.6361193900928
11000,-107.51983140185476
11100,-204.2402858324349
11200,-158.85686915442346
11300,-83.4590902558557
11400,-155.54792606420816
11500,-226.70573069527745
11600,-156.9788044322282
