episode,return
1,19.0
2,22.0
3,15.0
4,27.0
5,18.0
6,22.0
7,28.0
8,22.0
9,9.0
10,10.0
11,12.0
12,25.0
13,10.0
14,33.0
15,9.0
16,13.0
17,12.0
18,14.0
19,9.0
20,12.0
21,10.0
22,8.0
23,9.0
24,10.0
25,10.0
26,9.0
27,10.0
28,12.0
29,13.0
30,10.0
31,8.0
32,15.0
33,9.0
34,8.0
35,10.0
36,12.0
37,9.0
38,10.0
39,10.0
40,9.0
41,10.0
42,9.0
43,8.0
44,10.0
45,10.0
46,9.0
47,8.0
48,9.0
49,9.0
50,10.0
51,9.0
52,9.0
53,9.0
54,10.0
55,14.0
56,11.0
57,10.0
58,8.0
59,10.0
60,8.0
61,9.0
62,9.0
63,8.0
64,12.0
65,8.0
66,10.0
67,12.0
68,9.0
69,10.0
70,9.0
71,10.0
72,10.0
73,9.0
74,9.0
75,11.0
76,8.0
77,8.0
78,10.0
79,8.0
80,10.0
81,14.0
82,8.0
83,11.0
84,8.0
85,10.0
86,10.0
87,12.0
88,10.0
89,8.0
90,11.0
91,10.0
92,12.0
93,10.0
94,9.0
95,9.0
96,10.0
97,8.0
98,12.0
99,9.0
100,10.0
101,8.0
102,9.0
103,11.0
104,9.0
105,10.0
106,10.0
107,8.0
108,10.0
109,9.0
110,9.0
111,9.0
112,9.0
113,9.0
114,10.0
115,10.0
116,8.0
117,10.0
118,12.0
119,10.0
120,10.0
121,12.0
122,8.0
123,8.0
124,10.0
125,11.0
126,10.0
127,9.0
128,10.0
129,10.0
130,12.0
131,12.0
132,10.0
133,10.0
134,11.0
135,9.0
136,11.0
137,10.0
138,8.0
139,12.0
140,16.0
141,10.0
142,10.0
143,14.0
144,9.0
145,10.0
146,13.0
147,11.0
148,15.0
149,18.0
150,10.0
151,18.0
152,10.0
153,24.0
154,12.0
155,16.0
156,38.0
157,48.0
158,35.0
159,65.0
160,23.0
161,19.0
162,16.0
163,9.0
164,12.0
165,10.0
166,8.0
167,11.0
168,21.0
